"playerId","skaterFullName","team_abbr","positionCode","shootsCatches","gamesPlayed","goals","assists","points","plusMinus","shots","shootingPct","faceoffWinPct","timeOnIcePerGame","toi_5v5_per_game","corsi_against","corsi_ahead","corsi_behind","corsi_close","corsi_for","corsi_relative","corsi_tied","corsi_total","corsi_percentage","fenwick_against","fenwick_ahead","fenwick_behind","fenwick_close","fenwick_for","fenwick_relative","fenwick_tied","fenwick_total","fenwick_percentage","zone_start_pct","shooting_pct_5v5","save_pct_5v5","evGoals","evPoints","gameWinningGoals","lastName","otGoals","penaltyMinutes","pointsPerGame","ppGoals","ppPoints","seasonId","shGoals","shPoints","teamAbbrevs","goals_per_game","assists_per_game","points_per_game","shots_per_game","corsi_plus_minus","fenwick_plus_minus","moneypuck_team","onIce_xGoalsPercentage","offIce_xGoalsPercentage","I_F_xGoals","I_F_flurryAdjustedxGoals","I_F_scoreVenueAdjustedxGoals","I_F_flurryScoreVenueAdjustedxGoals","I_F_lowDangerxGoals","I_F_mediumDangerxGoals","I_F_highDangerxGoals","I_F_xGoalsFromxReboundsOfShots","I_F_xGoalsFromActualReboundsOfShots","I_F_reboundxGoals","I_F_xGoals_with_earned_rebounds","I_F_xGoals_with_earned_rebounds_scoreAdjusted","I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted","OnIce_F_xGoals","OnIce_F_flurryAdjustedxGoals","OnIce_F_scoreVenueAdjustedxGoals","OnIce_F_flurryScoreVenueAdjustedxGoals","OnIce_F_lowDangerxGoals","OnIce_F_mediumDangerxGoals","OnIce_F_highDangerxGoals","OnIce_F_xGoalsFromxReboundsOfShots","OnIce_F_xGoalsFromActualReboundsOfShots","OnIce_F_reboundxGoals","OnIce_F_xGoals_with_earned_rebounds","OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted","OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted","OnIce_A_xGoals","OnIce_A_flurryAdjustedxGoals","OnIce_A_scoreVenueAdjustedxGoals","OnIce_A_flurryScoreVenueAdjustedxGoals","OnIce_A_lowDangerxGoals","OnIce_A_mediumDangerxGoals","OnIce_A_highDangerxGoals","OnIce_A_xGoalsFromxReboundsOfShots","OnIce_A_xGoalsFromActualReboundsOfShots","OnIce_A_reboundxGoals","OnIce_A_xGoals_with_earned_rebounds","OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted","OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted","OffIce_F_xGoals","OffIce_A_xGoals","xGoalsForAfterShifts","xGoalsAgainstAfterShifts","offIce_corsiPercentage","offIce_fenwickPercentage","I_F_faceOffsWon","faceoffsWon","faceoffsLost","OffIce_F_shotAttempts","OffIce_A_shotAttempts","individual_shooting_luck","team_offensive_luck","overall_team_luck","shooting_efficiency","xG_percentage","individual_luck_category","shooting_efficiency_category","hot_shooter","cold_shooter","lucky_individual","unlucky_individual"
8471817,"Ryan Reaves","TOR","R","R",35,0,2,2,-2,14,0,0,468.0285,464.54,261,-35,26,-59,199,-0.073,-53,-62,0.432,181,-23,23,-39,139,-0.074,-42,-42,0.434,0.233,0.034,0.951,0,2,0,"Reaves",0,28,0.05714,0,0,20242025,0,0,"TOR",0,0.0571428571428571,0.0571428571428571,0.4,-62,-42,"TOR",0.93,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0.47,0.47,0.47,0,0,0.47,0,0,0,0.47,0.47,0.47,0.04,0.04,0.04,0.04,0.04,0,0,0.01,0,0,0.05,0.05,0.05,0.39,2.24,0,0,0.48,0.6,0,0,0,10,11,NA,NA,0.43,NA,92.156862745098,"No Data","No Data",NA,NA,NA,NA
8473419,"Brad Marchand","FLA","L","L",23,10,10,20,17,47,0.21276,NA,1000.3043,780.69,285,16,15,36,335,0.013,19,50,0.54,197,21,13,16,235,0.033,4,38,0.543,0.454,0.14,0.943,8,17,3,"Marchand",2,48,0.86956,1,2,20242025,1,1,"FLA",0.434782608695652,0.434782608695652,0.869565217391304,2.04347826086957,50,38,"FLA",0.54,0.47,8.63,7.99,8.63,7.99,0.47,1.02,7.13,0.55,2.1,1.69,7.49,7.49,7.28,17.67,16.3,17.67,16.3,2.22,3.52,11.94,1.77,2.72,2.72,16.72,16.72,15.95,14.93,13.95,14.93,13.95,1.41,1.51,12.02,0.8,2.41,2.41,13.33,13.33,13.18,11.12,12.63,0.08,0.14,0.44,0.44,0,0,1,113,141,1.37,9.04,2.74,1.15874855156431,54.2024539877301,"Normal","Above Average",0,0,0,0
8473422,"Nick Foligno","CHI","L","L",78,15,20,35,-17,104,0.14423,0.48437,955.4871,756.67,938,-77,22,-78,815,0.021,-68,-123,0.464,696,-40,-20,-75,575,0.018,-61,-121,0.452,0.396,0.094,0.887,11,29,1,"Foligno",0,48,0.44871,2,4,20242025,2,2,"CHI",0.192307692307692,0.256410256410256,0.448717948717949,1.33333333333333,-123,-121,"CHI",0.48,0.32,4.2,3.57,4.2,3.57,0.02,0.4,3.78,0.29,0.45,1.56,2.93,2.93,2.7,13.47,11.8,13.47,11.8,1.16,2.08,10.23,1.36,2.79,2.79,12.03,12.03,11.16,14.73,14.03,14.73,14.03,0.69,1.57,12.47,0.8,0.63,0.82,14.64,14.64,14.04,5.53,11.5,0,0.06,0.38,0.34,30,30,15,56,90,10.8,9.27,-1.26,3.57142857142857,47.7659574468085,"Very Lucky","Hot Shooter",1,0,1,0
8473446,"Erik Johnson","COL","D","R",2,0,0,0,0,4,0,NA,889,826.5,28,6,-1,-6,27,-0.04,-6,-1,0.49,19,4,-1,-3,19,-0.022,-3,0,0.5,0.545,0.083,0.928,0,0,0,"Johnson",0,0,0,0,0,20242025,0,0,"COL",0,0,0,2,-1,0,"COL",0.27,0.5,0.39,0.39,0.39,0.39,0,0,0.39,0.01,0,0,0.4,0.4,0.4,0.43,0.43,0.43,0.43,0.04,0,0.39,0.02,0,0,0.45,0.45,0.45,1.17,1.11,1.17,1.11,0.23,0.5,0.45,0.21,0.45,0.45,0.94,0.94,0.92,8.72,8.64,0,0,0.51,0.56,0,0,0,81,79,-0.39,0.04,-0.74,0,26.875,"Normal","Cold Shooter",0,1,0,0
8473453,"Trevor Lewis","LAK","C","R",62,6,6,12,-4,53,0.1132,0.46464,601.5806,551.59,552,-51,-24,-93,464,-0.082,-13,-88,0.456,359,-7,-7,-49,345,-0.054,0,-14,0.49,0.503,0.056,0.924,6,12,1,"Lewis",0,20,0.19354,0,0,20242025,0,0,"LAK",0.0967741935483871,0.0967741935483871,0.193548387096774,0.854838709677419,-88,-14,"LAK",0.7,0.48,1.2,1.2,1.2,1.2,0,0,1.2,0.01,0,0,1.21,1.21,1.21,3.87,3.84,3.87,3.84,0.07,0.09,3.71,0.06,0,0,3.93,3.93,3.9,1.67,1.54,1.67,1.54,0.44,0.85,0.38,0.35,0.09,0.09,1.94,1.94,1.81,7.91,8.59,0.06,0.1,0.5,0.48,0,0,0,75,74,4.8,2.67,2.2,5,69.85559566787,"Very Lucky","Hot Shooter",1,0,1,0
8473507,"Jeff Petry","DET","D","R",44,1,7,8,-2,33,0.0303,NA,1133.7954,1025.15,827,-110,-14,-70,648,-0.05,-55,-179,0.439,611,-59,-25,-85,447,-0.048,-80,-164,0.422,0.476,0.086,0.925,1,7,1,"Petry",0,16,0.18181,0,1,20242025,0,0,"DET",0.0227272727272727,0.159090909090909,0.181818181818182,0.75,-179,-164,"DET",0.44,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23,3,4.23,3,0.15,0.17,3.92,0.14,0.78,0.78,3.59,3.59,2.94,5.45,4.51,5.45,4.51,0.6,1.65,3.2,0.65,3.07,3.07,3.03,3.03,2.81,12.52,7.74,0.32,0,0.41,0.46,0,0,0,57,81,NA,NA,-1.22,NA,43.698347107438,"No Data","No Data",NA,NA,NA,NA
8473512,"Claude Giroux","OTT","R","R",87,16,39,55,-5,145,0.11034,0.6048,1089.3678,751.31,1008,-10,123,89,1145,0.042,24,137,0.531,722,8,75,59,816,0.037,11,94,0.53,0.545,0.078,0.912,11,34,3,"Giroux",0,18,0.63218,5,20,20242025,0,1,"OTT",0.183908045977011,0.448275862068966,0.632183908045977,1.66666666666667,137,94,"OTT",0.51,0.44,3.15,2.65,3.15,2.65,0.34,0.54,2.27,0.23,0,0,3.38,3.38,2.86,21.52,19.08,21.52,19.08,2.86,4.52,14.14,2.22,3.69,3.69,20.05,20.05,18.12,20.57,19.93,20.57,19.93,1.3,2.32,16.95,1.14,0.76,0.76,20.94,20.94,20.34,13.84,17.78,0,0,0.4,0.39,65,65,26,118,179,12.85,18.37,0.949999999999999,5.07936507936508,51.1285340936089,"Very Lucky","Hot Shooter",1,0,1,0
8473533,"Jordan Staal","CAR","C","L",90,15,24,39,14,125,0.12,0.54366,941.0222,765.46,959,124,168,260,1343,0.002,92,384,0.583,683,99,110,162,951,0.008,59,268,0.582,0.471,0.074,0.907,13,37,3,"Staal",0,24,0.43333,0,0,20242025,2,2,"CAR",0.166666666666667,0.266666666666667,0.433333333333333,1.38888888888889,384,268,"CAR",0.52,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,9.78,9.74,9.78,9.74,0.53,0.17,9.08,0.38,0.04,0.04,10.12,10.12,10.07,9.01,8.2,9.01,8.2,1.47,1.56,5.98,1.3,2.08,2.08,8.22,8.22,7.55,20.14,15.9,0,0,0.62,0.62,37,37,41,168,102,NA,NA,0.77,NA,52.0489622139436,"No Data","No Data",NA,NA,NA,NA
8473986,"Alex Killorn","ANA","L","L",82,19,18,37,12,134,0.14179,0.38095,1036.5609,758.76,1028,-21,39,4,1063,0.06,17,35,0.508,730,1,21,-1,759,0.067,7,29,0.509,0.535,0.088,0.919,18,32,5,"Killorn",1,30,0.45121,0,3,20242025,1,2,"ANA",0.231707317073171,0.219512195121951,0.451219512195122,1.63414634146341,35,29,"ANA",0.44,0.44,3.4,3.26,3.4,3.26,0.13,0.56,2.7,0.21,0.68,0.64,2.97,2.97,2.91,12.61,11.61,12.61,11.61,1.22,2.53,8.86,1.18,3.01,3.01,10.77,10.77,10.53,16.1,14.38,16.1,14.38,0.89,0.85,14.35,0.9,2.46,2.46,14.54,14.54,13.49,20.08,25.35,0,0,0.39,0.4,0,0,1,151,234,15.6,9.21,-3.49,5.58823529411765,43.921978404737,"Very Lucky","Hot Shooter",1,0,1,0
8473994,"Jamie Benn","DAL","L","L",98,17,35,52,-8,161,0.10559,0.54442,893.7857,702.1,1254,-111,10,-37,1136,-0.022,-17,-118,0.475,913,-83,-21,-53,788,-0.026,-21,-125,0.463,0.477,0.104,0.908,15,40,4,"Benn",1,96,0.53061,2,12,20242025,0,0,"DAL",0.173469387755102,0.357142857142857,0.530612244897959,1.64285714285714,-118,-125,"DAL",0.45,0.56,0.98,0.8,0.98,0.8,0.07,0.32,0.58,0.13,0,0.23,0.87,0.87,0.69,8.47,7.26,8.47,7.26,0.82,1.45,6.21,0.77,1.65,1.65,7.59,7.59,6.68,10.51,10.06,10.51,10.06,0.94,1.13,8.45,0.66,0.57,0.57,10.6,10.6,10.14,17.31,13.36,0,0,0.43,0.43,18,18,12,100,130,16.02,7.49,-2.04,17.3469387755102,44.6259220231823,"Very Lucky","Hot Shooter",1,0,1,0
