"playerId","skaterFullName","team_abbr","positionCode","gamesPlayed","goals","assists","points","plusMinus","shots","shootingPct","goals_per_game","points_per_game","timeOnIcePerGame","toi_5v5_per_game","corsi_for","corsi_against","corsi_percentage","corsi_relative","fenwick_for","fenwick_against","fenwick_percentage","fenwick_relative","OnIce_F_xGoals","OnIce_A_xGoals","I_F_xGoals","I_F_highDangerxGoals","I_F_mediumDangerxGoals","I_F_lowDangerxGoals","zone_start_pct","onIce_xGoalsPercentage","xGoals_plus_minus","goals_above_expected","xGoals_per_60","elite_possession","elite_xg_creation","high_danger_specialist"
8484180,"Samuel Honzek","CGY","L",5,0,0,0,-1,6,0,0,0,743.6,628.8,49,70,0.411,-0.069,37,47,0.44,-0.051,0.51,0,0,0,0,0,0.631,1,0.51,0,0,0,0,0
8484186,"Ryan Leonard","WSH","R",17,1,1,2,-3,29,0.03448,0.0588235294117647,0.117647058823529,736.7058,686.82,165,183,0.474,0.021,122,128,0.488,0.02,1.96,0.08,0.96,0.96,0,0,0.495,0.96,1.88,0.04,0.00459917010849873,0,0,0
8484197,"Oliver Moore","CHI","C",9,0,4,4,-2,10,0,0,0.444444444444444,814.6666,739,93,97,0.489,0.045,67,74,0.475,0.052,0,0.09,0,0,0,0,0.448,0,-0.09,0,0,0,0,0
8484210,"Gabe Perreault","NYR","R",5,0,0,0,-1,5,0,0,0,866.2,785.2,42,74,0.362,-0.199,32,48,0.4,-0.174,0,0,0,0,0,0,0.615,0,0,0,0,0,0,0
8484221,"Calum Ritchie","COL","C",7,1,0,1,-7,11,0.0909,0.142857142857143,0.142857142857143,766.8571,645.42,66,86,0.434,-0.147,47,62,0.431,-0.161,1.9,1.56,0.42,0,0.38,0.05,0.575,0.55,0.34,0.58,0.00469448610438633,0,0,0
8484227,"Will Smith","SJS","C",74,18,27,45,-15,127,0.14173,0.243243243243243,0.608108108108108,951.1621,777.14,923,1027,0.473,0.016,664,751,0.469,0.014,10,13.53,1.73,0.89,0.61,0.23,0.513,0.43,-3.53,16.27,0.00147472518375438,0,0,0
8484241,"Matthew Wood","NSH","R",6,0,1,1,0,8,0,0,0.166666666666667,694.8333,636.66,59,61,0.491,0.02,40,48,0.454,-0.027,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0
8484258,"Sam Malinski","COL","D",81,5,11,16,11,124,0.04032,0.0617283950617284,0.197530864197531,950.0123,897.88,1248,1142,0.522,-0.026,869,760,0.533,-0.015,3.96,5.65,0.14,0,0,0.14,0.436,0.41,-1.69,4.86,0.000109160380032662,0,0,0
8484304,"Uvis Balinskis","FLA","D",81,5,14,19,-3,96,0.05208,0.0617283950617284,0.234567901234568,882.7407,782.82,1041,876,0.543,-0.001,741,641,0.536,-0.006,3.6,5.46,0.31,0,0.08,0.23,0.594,0.4,-1.86,4.69,0.000260132595709736,0,0,0
8484321,"Nikolas Matinpalo","OTT","D",47,1,3,4,-1,46,0.02173,0.0212765957446809,0.0851063829787234,760.1276,754.91,530,570,0.481,-0.018,363,418,0.464,-0.043,0.04,0.21,0,0,0,0,0.534,0.16,-0.17,1,0,0,0,0
8484387,"Matvei Michkov","PHI","R",80,26,37,63,-18,199,0.13065,0.325,0.7875,1001.0625,769.73,1032,1076,0.489,0.005,758,726,0.51,0.012,16.68,16.94,4.18,2.98,0.68,0.53,0.612,0.5,-0.260000000000002,21.82,0.00313167259786477,0,0,1
8484783,"Artyom Levshunov","CHI","D",18,0,6,6,-13,21,0,0,0.333333333333333,1218.9444,1083.38,267,320,0.454,-0.014,188,247,0.432,-0.02,1.65,5.41,0.25,0,0.15,0.1,0.609,0.23,-3.76,-0.25,0.000683651636065872,0,0,0
