"playerId","skaterFullName","team_abbr","positionCode","shootsCatches","gamesPlayed","goals","assists","points","plusMinus","shots","shootingPct","faceoffWinPct","timeOnIcePerGame","toi_5v5_per_game","corsi_against","corsi_ahead","corsi_behind","corsi_close","corsi_for","corsi_relative","corsi_tied","corsi_total","corsi_percentage","fenwick_against","fenwick_ahead","fenwick_behind","fenwick_close","fenwick_for","fenwick_relative","fenwick_tied","fenwick_total","fenwick_percentage","zone_start_pct","shooting_pct_5v5","save_pct_5v5","evGoals","evPoints","gameWinningGoals","lastName","otGoals","penaltyMinutes","pointsPerGame","ppGoals","ppPoints","seasonId","shGoals","shPoints","teamAbbrevs","goals_per_game","assists_per_game","points_per_game","shots_per_game","corsi_plus_minus","fenwick_plus_minus"
8481517,"Brett Leason","ANA","R","R",62,5,12,17,-2,79,0.06329,0.28395,778.8709,628.2,753,-70,-59,-152,535,-0.048,-89,-218,0.415,507,-48,-26,-94,369,-0.037,-64,-138,0.421,0.291,0.094,0.921,4,15,0,"Leason",0,22,0.27419,1,2,20242025,0,0,"ANA",0.0806451612903226,0.193548387096774,0.274193548387097,1.2741935483871,-218,-138
8482178,"Ian Moore","ANA","D","R",3,0,1,1,1,4,0,NA,818.3333,818.33,46,3,-4,-6,44,0.033,-1,-2,0.488,39,-2,-2,-6,33,0.012,-2,-6,0.458,0.761,0.045,1,0,1,0,"Moore",0,0,0.33333,0,0,20242025,0,0,"ANA",0,0.333333333333333,0.333333333333333,1.33333333333333,-2,-6
8483482,"Tristan Luneau","ANA","D","R",6,0,0,0,-5,6,0,NA,993.3333,944.66,118,-11,-8,-43,70,-0.065,-29,-48,0.372,91,-6,-12,-31,51,-0.079,-22,-40,0.359,0.466,0.074,0.898,0,0,0,"Luneau",0,2,0,0,0,20242025,0,0,"ANA",0,0,0,1,-48,-40
8477527,"Ross Johnston","ANA","L","L",43,1,3,4,-2,9,0.11111,0,521.4651,519.48,388,-36,-42,-62,288,-0.049,-22,-100,0.426,275,-32,-44,-53,185,-0.069,-14,-90,0.402,0.344,0.059,0.941,1,4,1,"Johnston",0,72,0.09302,0,0,20242025,0,0,"ANA",0.0232558139534884,0.0697674418604651,0.0930232558139535,0.209302325581395,-100,-90
8481563,"Drew Helleson","ANA","D","R",56,4,9,13,6,63,0.06349,NA,981.0714,898.78,946,-83,-48,-131,741,-0.036,-74,-205,0.439,715,-73,-55,-121,517,-0.055,-70,-198,0.419,0.468,0.109,0.929,4,12,1,"Helleson",0,47,0.23214,0,0,20242025,0,1,"ANA",0.0714285714285714,0.160714285714286,0.232142857142857,1.125,-205,-198
8477496,"Elias Lindholm","BOS","C","R",82,17,30,47,-4,152,0.11184,0.5524,1084.6707,741.71,1020,-44,-46,17,973,0.018,43,-47,0.488,722,-3,-55,11,692,0.021,28,-30,0.489,0.499,0.1,0.921,14,30,3,"Lindholm",0,14,0.57317,2,14,20242025,1,3,"BOS",0.207317073170732,0.365853658536585,0.573170731707317,1.85365853658537,-47,-30
8479362,"Riley Tufte","BOS","L","L",6,0,0,0,-3,1,0,0.5,551.6666,527.16,42,-3,4,-3,35,-0.056,-8,-7,0.454,31,-4,2,-2,24,-0.067,-5,-7,0.436,0.413,0,0.857,0,0,0,"Tufte",0,4,0,0,0,20242025,0,0,"BOS",0,0,0,0.166666666666667,-7,-7
8480355,"Mark Kastelic","BOS","C","R",61,5,9,14,-3,67,0.07462,0.54371,644.1639,615.95,613,-83,-36,-86,470,-0.058,-24,-143,0.433,410,-35,-31,-49,330,-0.042,-14,-80,0.445,0.198,0.088,0.914,5,14,0,"Kastelic",0,106,0.2295,0,0,20242025,0,0,"BOS",0.0819672131147541,0.147540983606557,0.229508196721311,1.09836065573771,-143,-80
8479987,"Morgan Geekie","BOS","C","R",77,33,24,57,3,150,0.22,0.46524,1015.2207,871.53,1072,-35,49,17,1103,0.044,17,31,0.507,761,-5,-2,18,776,0.04,22,15,0.504,0.687,0.128,0.904,29,48,4,"Geekie",0,22,0.74025,4,9,20242025,0,0,"BOS",0.428571428571429,0.311688311688312,0.74025974025974,1.94805194805195,31,15
8479369,"Andrew Peeke","BOS","D","R",76,1,16,17,-10,80,0.0125,NA,1116.4078,976.46,1283,-67,-20,-164,1086,-0.022,-110,-197,0.458,894,-23,-46,-116,750,-0.027,-75,-144,0.456,0.474,0.079,0.903,0,15,0,"Peeke",0,15,0.22368,0,0,20242025,1,2,"BOS",0.0131578947368421,0.210526315789474,0.223684210526316,1.05263157894737,-197,-144
