"playerId","skaterFullName","teams_played_for","team_list","positionCode","shootsCatches","lastName","teamAbbrevs","moneypuck_team","team_abbr","gamesPlayed","goals","assists","points","plusMinus","shots","shootingPct","faceoffWinPct","timeOnIcePerGame","toi_5v5_per_game","corsi_against","corsi_ahead","corsi_behind","corsi_close","corsi_for","corsi_relative","corsi_tied","corsi_total","corsi_percentage","fenwick_against","fenwick_ahead","fenwick_behind","fenwick_close","fenwick_for","fenwick_relative","fenwick_tied","fenwick_total","fenwick_percentage","zone_start_pct","shooting_pct_5v5","save_pct_5v5","evGoals","evPoints","gameWinningGoals","otGoals","penaltyMinutes","pointsPerGame","ppGoals","ppPoints","seasonId","shGoals","shPoints","goals_per_game","assists_per_game","points_per_game","shots_per_game","corsi_plus_minus","fenwick_plus_minus","onIce_xGoalsPercentage","offIce_xGoalsPercentage","I_F_xGoals","I_F_flurryAdjustedxGoals","I_F_scoreVenueAdjustedxGoals","I_F_flurryScoreVenueAdjustedxGoals","I_F_lowDangerxGoals","I_F_mediumDangerxGoals","I_F_highDangerxGoals","I_F_xGoalsFromxReboundsOfShots","I_F_xGoalsFromActualReboundsOfShots","I_F_reboundxGoals","I_F_xGoals_with_earned_rebounds","I_F_xGoals_with_earned_rebounds_scoreAdjusted","I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted","OnIce_F_xGoals","OnIce_F_flurryAdjustedxGoals","OnIce_F_scoreVenueAdjustedxGoals","OnIce_F_flurryScoreVenueAdjustedxGoals","OnIce_F_lowDangerxGoals","OnIce_F_mediumDangerxGoals","OnIce_F_highDangerxGoals","OnIce_F_xGoalsFromxReboundsOfShots","OnIce_F_xGoalsFromActualReboundsOfShots","OnIce_F_reboundxGoals","OnIce_F_xGoals_with_earned_rebounds","OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted","OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted","OnIce_A_xGoals","OnIce_A_flurryAdjustedxGoals","OnIce_A_scoreVenueAdjustedxGoals","OnIce_A_flurryScoreVenueAdjustedxGoals","OnIce_A_lowDangerxGoals","OnIce_A_mediumDangerxGoals","OnIce_A_highDangerxGoals","OnIce_A_xGoalsFromxReboundsOfShots","OnIce_A_xGoalsFromActualReboundsOfShots","OnIce_A_reboundxGoals","OnIce_A_xGoals_with_earned_rebounds","OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted","OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted","OffIce_F_xGoals","OffIce_A_xGoals","xGoalsForAfterShifts","xGoalsAgainstAfterShifts","offIce_corsiPercentage","offIce_fenwickPercentage","I_F_faceOffsWon","faceoffsWon","faceoffsLost","OffIce_F_shotAttempts","OffIce_A_shotAttempts","xGoals_plus_minus","goals_above_expected","traded_player","individual_shooting_luck","team_offensive_luck","overall_team_luck","shooting_efficiency","xG_percentage","individual_shooting_luck_per_game","trade_impact_available","individual_luck_category","shooting_efficiency_category","hot_shooter","cold_shooter","lucky_individual","unlucky_individual"
8480459,"Pius Suter",1,"VAN","C","L","Suter","VAN","VAN","VAN",81,25,21,46,2,138,18.1159420289855,0.42562,1040.6419,762.06,956,-31,8,-29,935,0.005,2,-21,49.4447382337388,691,-21,-6,-51,636,-0.008,-28,-55,47.9276563677468,0.442,0.106,0.9,22,39,3,0,18,0.5679,2,5,20242025,1,2,0.308641975308642,0.259259259259259,0.567901234567901,1.7037037037037,-21,-55,56.1957653592503,0.44,4.9,4.45,4.9,4.45,0.32,0.68,3.9,0.31,0.27,1.32,3.89,3.89,3.59,16.19,14.64,16.19,14.64,1.16,1.83,13.19,1,3.87,3.99,13.2,13.2,12.4,12.62,11.92,12.62,11.92,1.05,1.45,10.12,0.93,1.54,1.54,12.01,12.01,11.46,11.99,15.15,0.93,0,0.45,0.44,29,29,33,121,145,3.57,20.1,FALSE,20.1,11.29,3.57,5.10204081632653,56.1957653592503,0.248148148148148,TRUE,"Very Lucky","Hot Shooter",1,0,1,0
8480849,"Barrett Hayton",1,"UTA","C","L","Hayton","UTA","UTA","UTA",82,20,26,46,-6,155,12.9032258064516,0.54117,966.0853,752.15,904,113,74,187,1176,0.051,85,272,56.5384615384615,629,105,50,158,857,0.058,73,228,57.671601615074,0.554,0.071,0.908,13,31,7,0,45,0.56097,7,15,20242025,0,0,0.24390243902439,0.317073170731707,0.560975609756098,1.89024390243902,272,228,51.3749454386731,0.55,1.45,1.35,1.45,1.35,0.16,0.7,0.59,0.19,0,0.03,1.61,1.61,1.49,11.77,10.72,11.77,10.72,1.25,3.03,7.49,1.08,0.73,0.73,12.12,12.12,11.15,11.14,10.21,11.14,10.21,0.73,1.56,8.85,0.56,1.28,1.28,10.42,10.42,9.54,18.39,15.06,0.74,0,0.44,0.47,41,41,24,121,153,0.629999999999999,18.55,FALSE,18.55,10.32,0.629999999999999,13.7931034482759,51.3749454386731,0.226219512195122,TRUE,"Very Lucky","Hot Shooter",1,0,1,0
8481542,"Moritz Seider",1,"DET","D","R","Seider","DET","DET","DET",82,8,38,46,-5,162,4.93827160493827,0,1504.3292,1123.98,1450,-58,112,45,1480,0.032,-24,30,50.5119453924915,1037,-34,65,34,1047,0.036,-21,10,50.2399232245681,0.448,0.08,0.921,4,22,0,0,40,0.56097,4,24,20242025,0,0,0.0975609756097561,0.463414634146341,0.560975609756098,1.97560975609756,30,10,47.9300291545189,0.52,2.33,1.98,2.33,1.98,0.25,0.33,1.75,0.19,0.2,0,2.53,2.53,2.15,24.66,22.68,24.66,22.68,2.16,2.79,19.71,1.9,2.34,2.77,23.8,23.8,22.26,26.79,25.11,26.79,25.11,1.57,2.94,22.28,1.61,2.34,2.34,26.06,26.06,24.53,12.91,11.71,0,0,0.43,0.44,0,0,0,74,100,-2.13,5.67,FALSE,5.67,22.33,-2.13,3.43347639484979,47.9300291545189,0.0691463414634146,TRUE,"Very Lucky","Hot Shooter",1,0,1,0
8476461,"Sean Couturier",1,"PHI","C","L","Couturier","PHI","PHI","PHI",79,15,30,45,1,155,9.67741935483871,0.56066,1037.6202,875.49,1181,2,45,-66,1173,0.019,-55,-8,49.8300764655905,808,48,28,-20,847,0.015,-37,39,51.178247734139,0.508,0.095,0.894,14,41,2,1,41,0.56962,1,4,20242025,0,0,0.189873417721519,0.379746835443038,0.569620253164557,1.9620253164557,-8,39,59.3283582089552,0.43,3.6,2.54,3.6,2.54,0.15,0.29,3.17,0.31,0.43,0.55,3.36,3.36,2.55,14.31,12.34,14.31,12.34,1.32,1.4,11.59,1.14,1.95,1.78,13.66,13.66,12.27,9.81,9.73,9.81,9.73,0.28,0.59,8.94,0.27,0.31,0.31,9.77,9.77,9.68,11.47,15.4,0.03,0,0.39,0.42,47,47,35,92,141,4.5,11.4,FALSE,11.4,10.71,4.5,4.16666666666667,59.3283582089552,0.144303797468354,TRUE,"Very Lucky","Hot Shooter",1,0,1,0
8478366,"Frank Vatrano",1,"ANA","R","L","Vatrano","ANA","ANA","ANA",81,21,24,45,-9,234,8.97435897435897,0.47058,1052.716,789.07,1184,-65,-4,-29,1131,0.033,16,-53,48.8552915766739,877,-30,-16,-10,833,0.037,2,-44,48.7134502923977,0.512,0.083,0.916,17,39,1,0,80,0.55555,3,5,20242025,1,1,0.259259259259259,0.296296296296296,0.555555555555556,2.88888888888889,-53,-44,49.7242380261248,0.37,5.19,4.74,5.19,4.74,0.17,0.57,4.45,0.21,0.95,0.64,4.75,4.75,4.7,17.13,14.85,17.13,14.85,1.25,2.37,13.5,1.3,3.08,3.08,15.34,15.34,13.76,17.32,15.71,17.32,15.71,1.89,2.04,13.39,1.19,1.19,1.19,17.31,17.31,15.85,13.1,22.08,0,0.03,0.38,0.38,0,0,0,111,182,-0.190000000000001,15.81,FALSE,15.81,11.94,-0.190000000000001,4.04624277456647,49.7242380261248,0.195185185185185,TRUE,"Very Lucky","Hot Shooter",1,0,1,0
8480012,"Elias Pettersson",1,"VAN","C","L","Pettersson","VAN","VAN","VAN",64,15,30,45,-10,109,13.7614678899083,0.4751,1119.625,820.82,834,-49,39,-52,800,-0.006,-24,-34,48.9596083231334,568,-15,20,-34,548,0,-25,-20,49.1039426523297,0.494,0.097,0.901,8,29,1,0,14,0.70312,7,16,20242025,0,0,0.234375,0.46875,0.703125,1.703125,-34,-20,47.680412371134,0.57,1.18,0.95,1.18,0.95,0.31,0.28,0.59,0.19,0.73,0.59,0.78,0.78,0.67,11.1,10.29,11.1,10.29,1.3,2.12,7.67,1.14,1.86,1.86,10.38,10.38,9.78,12.18,11.75,12.18,11.75,1.15,1.09,9.94,0.71,0.76,0.76,12.06,12.06,11.61,12.76,9.64,0,0.07,0.43,0.46,28,28,24,74,97,-1.08,13.82,FALSE,13.82,9.92,-1.08,12.7118644067797,47.680412371134,0.2159375,TRUE,"Very Lucky","Hot Shooter",1,0,1,0
8481601,"Simon Holmstrom",1,"NYI","R","L","Holmstrom","NYI","NYI","NYI",75,20,25,45,5,96,20.8333333333333,0.2,1011.8933,772.44,994,-25,-20,61,984,0,35,-10,49.747219413549,685,1,-32,76,704,0.002,50,19,50.6839452843773,0.48,0.11,0.921,17,35,3,0,8,0.6,2,6,20242025,1,4,0.266666666666667,0.333333333333333,0.6,1.28,-10,19,38.5862224223323,0.41,4.65,3.75,4.65,3.75,0.15,0.79,3.71,0.25,0,0.49,4.42,4.42,3.65,8.57,7.52,8.57,7.52,1.05,1.47,6.06,0.94,0.88,0.88,8.64,8.64,7.73,13.64,10.63,13.64,10.63,1.32,2.21,10.1,1.05,2.39,2.39,12.31,12.31,10.55,12.59,17.81,0.03,0,0.43,0.44,0,0,0,109,143,-5.07,15.35,FALSE,15.35,3.92,-5.07,4.3010752688172,38.5862224223323,0.204666666666667,TRUE,"Very Lucky","Hot Shooter",1,0,1,0
8482109,"Alexis Lafrenière",1,"NYR","L","L","Lafrenière","NYR",NA,"NYR",82,17,28,45,-13,153,11.1111111111111,0.33333,1020.3292,888.2,1158,58,72,7,1280,0.05,-8,122,52.5020508613618,848,68,-3,-10,908,0.041,-5,60,51.7084282460137,0.651,0.108,0.884,15,41,4,0,38,0.54878,2,4,20242025,0,0,0.207317073170732,0.341463414634146,0.548780487804878,1.86585365853659,122,60,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,FALSE,NA,NA,0,NA,NA,NA,TRUE,"No Data","No Data",0,0,0,0
8482155,"Alex Laferriere",1,"LAK","R","R","Laferriere","LAK","LAK","LAK",83,19,26,45,23,203,9.35960591133005,0.35576,999.3734,860.85,1048,112,73,47,1272,0.035,39,224,54.8275862068965,740,95,42,34,900,0.026,23,160,54.8780487804878,0.513,0.105,0.926,17,41,4,0,22,0.54216,2,4,20242025,0,0,0.228915662650602,0.313253012048193,0.542168674698795,2.44578313253012,224,160,46.4199029126214,0.52,1.49,1.39,1.49,1.39,0.16,0.32,1.01,0.16,0.25,0.69,0.96,0.96,0.91,7.65,7.31,7.65,7.31,1.28,1.06,5.32,0.9,0.7,0.7,7.86,7.86,7.49,8.83,8.47,8.83,8.47,0.77,0.97,7.09,0.51,0.4,0.4,8.93,8.93,8.57,14.51,13.42,0,0.02,0.45,0.41,1,1,3,112,136,-1.18,17.51,FALSE,17.51,6.16,-1.18,12.751677852349,46.4199029126214,0.210963855421687,TRUE,"Very Lucky","Hot Shooter",1,0,1,0
8482157,"Will Cuylle",1,"NYR","L","L","Cuylle","NYR","NYR","NYR",82,20,25,45,12,152,13.1578947368421,0.33333,904.6463,771.76,1047,-37,40,-36,1030,0.007,-20,-17,49.5907558979297,754,-24,16,-28,744,0.011,-2,-10,49.6662216288384,0.52,0.112,0.906,16,39,3,0,42,0.54878,2,3,20242025,2,3,0.24390243902439,0.304878048780488,0.548780487804878,1.85365853658537,-17,-10,38.1855111712932,0.51,2.02,1.9,2.02,1.9,0.04,0.36,1.62,0.15,0.66,1.08,1.09,1.09,1.09,5.64,5.4,5.64,5.4,0.38,1.01,4.25,0.43,1.19,1.36,4.73,4.73,4.67,9.13,8.27,9.13,8.27,0.71,1.21,7.21,0.61,1.7,1.7,8.03,8.03,7.68,15.96,15.15,0,0.14,0.52,0.48,0,0,2,129,121,-3.49,17.98,FALSE,17.98,3.62,-3.49,9.9009900990099,38.1855111712932,0.219268292682927,TRUE,"Very Lucky","Hot Shooter",1,0,1,0
