"playerId","skaterFullName","team_abbr","positionCode","shootsCatches","gamesPlayed","goals","assists","points","plusMinus","shots","shootingPct","faceoffWinPct","timeOnIcePerGame","toi_5v5_per_game","corsi_against","corsi_ahead","corsi_behind","corsi_close","corsi_for","corsi_relative","corsi_tied","corsi_total","corsi_percentage","fenwick_against","fenwick_ahead","fenwick_behind","fenwick_close","fenwick_for","fenwick_relative","fenwick_tied","fenwick_total","fenwick_percentage","zone_start_pct","shooting_pct_5v5","save_pct_5v5","evGoals","evPoints","gameWinningGoals","lastName","otGoals","penaltyMinutes","pointsPerGame","ppGoals","ppPoints","seasonId","shGoals","shPoints","teamAbbrevs","goals_per_game","assists_per_game","points_per_game","shots_per_game","corsi_plus_minus","fenwick_plus_minus","moneypuck_team","onIce_xGoalsPercentage","offIce_xGoalsPercentage","I_F_xGoals","I_F_flurryAdjustedxGoals","I_F_scoreVenueAdjustedxGoals","I_F_flurryScoreVenueAdjustedxGoals","I_F_lowDangerxGoals","I_F_mediumDangerxGoals","I_F_highDangerxGoals","I_F_xGoalsFromxReboundsOfShots","I_F_xGoalsFromActualReboundsOfShots","I_F_reboundxGoals","I_F_xGoals_with_earned_rebounds","I_F_xGoals_with_earned_rebounds_scoreAdjusted","I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted","OnIce_F_xGoals","OnIce_F_flurryAdjustedxGoals","OnIce_F_scoreVenueAdjustedxGoals","OnIce_F_flurryScoreVenueAdjustedxGoals","OnIce_F_lowDangerxGoals","OnIce_F_mediumDangerxGoals","OnIce_F_highDangerxGoals","OnIce_F_xGoalsFromxReboundsOfShots","OnIce_F_xGoalsFromActualReboundsOfShots","OnIce_F_reboundxGoals","OnIce_F_xGoals_with_earned_rebounds","OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted","OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted","OnIce_A_xGoals","OnIce_A_flurryAdjustedxGoals","OnIce_A_scoreVenueAdjustedxGoals","OnIce_A_flurryScoreVenueAdjustedxGoals","OnIce_A_lowDangerxGoals","OnIce_A_mediumDangerxGoals","OnIce_A_highDangerxGoals","OnIce_A_xGoalsFromxReboundsOfShots","OnIce_A_xGoalsFromActualReboundsOfShots","OnIce_A_reboundxGoals","OnIce_A_xGoals_with_earned_rebounds","OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted","OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted","OffIce_F_xGoals","OffIce_A_xGoals","xGoalsForAfterShifts","xGoalsAgainstAfterShifts","offIce_corsiPercentage","offIce_fenwickPercentage","I_F_faceOffsWon","faceoffsWon","faceoffsLost","OffIce_F_shotAttempts","OffIce_A_shotAttempts"
8477952,"Robby Fabbri","ANA","C","L",44,8,8,16,-6,65,0.12307,0.45512,972.2727,811.54,761,-80,-23,-126,570,-0.037,-88,-191,0.428,566,-64,-30,-97,407,-0.049,-65,-159,0.418,0.436,0.066,0.942,8,16,0,"Fabbri",0,20,0.36363,0,0,20242025,0,0,"ANA",0.181818181818182,0.181818181818182,0.363636363636364,1.47727272727273,-191,-159,"ANA",0.48,0.41,1.32,1.32,1.32,1.32,0.05,0.26,1.01,0.05,0.28,0,1.38,1.38,1.38,5.04,4.24,5.04,4.24,0.57,1.01,3.45,0.53,1.92,1.92,3.65,3.65,3.5,5.36,5.19,5.36,5.19,0.56,1.49,3.31,0.45,0.5,0.5,5.31,5.31,5.18,9.55,13.92,0,0,0.4,0.4,8,8,0,78,117
8477952,"Robby Fabbri","ANA","C","L",44,8,8,16,-6,65,0.12307,0.45512,972.2727,811.54,761,-80,-23,-126,570,-0.037,-88,-191,0.428,566,-64,-30,-97,407,-0.049,-65,-159,0.418,0.436,0.066,0.942,8,16,0,"Fabbri",0,20,0.36363,0,0,20242025,0,0,"ANA",0.181818181818182,0.181818181818182,0.363636363636364,1.47727272727273,-191,-159,"ANA",0.4,0.46,7.91,7.79,7.9,7.78,2.22,2.96,2.73,0.93,2.02,1.46,7.39,7.36,7.32,32.8,31.07,32.68,30.96,10.52,10.22,12.05,4.86,8.06,8.06,29.59,29.49,28.88,50.22,48.18,50.39,48.36,15.04,15.79,19.39,7.52,11.56,11.56,46.18,46.38,45.2,98.31,113.78,0,0,0.47,0.47,71,71,85,1849,2126
8477952,"Robby Fabbri","ANA","C","L",44,8,8,16,-6,65,0.12307,0.45512,972.2727,811.54,761,-80,-23,-126,570,-0.037,-88,-191,0.428,566,-64,-30,-97,407,-0.049,-65,-159,0.418,0.436,0.066,0.942,8,16,0,"Fabbri",0,20,0.36363,0,0,20242025,0,0,"ANA",0.181818181818182,0.181818181818182,0.363636363636364,1.47727272727273,-191,-159,"ANA",0.39,0.44,5.83,5.72,5.82,5.71,2.02,2.56,1.25,0.81,1.55,1.46,5.18,5.15,5.12,24.18,23.38,24.06,23.27,9.04,8.03,7.11,3.78,5.95,6.14,21.82,21.71,21.39,37.25,35.75,37.42,35.93,12.63,12.88,11.74,5.66,8.99,8.99,33.92,34.12,33.37,58.37,74.29,0.37,1.2,0.46,0.47,45,45,63,1428,1653
8477952,"Robby Fabbri","ANA","C","L",44,8,8,16,-6,65,0.12307,0.45512,972.2727,811.54,761,-80,-23,-126,570,-0.037,-88,-191,0.428,566,-64,-30,-97,407,-0.049,-65,-159,0.418,0.436,0.066,0.942,8,16,0,"Fabbri",0,20,0.36363,0,0,20242025,0,0,"ANA",0.181818181818182,0.181818181818182,0.363636363636364,1.47727272727273,-191,-159,"ANA",0.11,0.21,0.1,0.1,0.1,0.1,0.1,0,0,0.01,0,0,0.11,0.11,0.11,0.87,0.79,0.87,0.79,0.2,0.42,0.24,0.1,0,0,0.97,0.97,0.88,6.92,6.55,6.92,6.55,1.6,0.98,4.34,1.3,2.07,2.07,6.15,6.15,5.86,2.83,10.54,0,0,0.15,0.17,11,11,3,28,158
8477952,"Robby Fabbri","ANA","C","L",44,8,8,16,-6,65,0.12307,0.45512,972.2727,811.54,761,-80,-23,-126,570,-0.037,-88,-191,0.428,566,-64,-30,-97,407,-0.049,-65,-159,0.418,0.436,0.066,0.942,8,16,0,"Fabbri",0,20,0.36363,0,0,20242025,0,0,"ANA",0.181818181818182,0.181818181818182,0.363636363636364,1.47727272727273,-191,-159,"ANA",0.83,0.88,0.66,0.65,0.66,0.65,0.04,0.14,0.47,0.06,0.19,0,0.72,0.72,0.71,2.58,2.53,2.58,2.53,0.71,0.63,1.25,0.43,0.19,0,3.02,3.02,2.96,0.54,0.54,0.54,0.54,0.22,0.32,0,0.09,0,0,0.63,0.63,0.62,9.46,1.23,0,0,0.89,0.88,6,6,6,133,16
8473986,"Alex Killorn","ANA","L","L",82,19,18,37,12,134,0.14179,0.38095,1036.5609,758.76,1028,-21,39,4,1063,0.06,17,35,0.508,730,1,21,-1,759,0.067,7,29,0.509,0.535,0.088,0.919,18,32,5,"Killorn",1,30,0.45121,0,3,20242025,1,2,"ANA",0.231707317073171,0.219512195121951,0.451219512195122,1.63414634146341,35,29,"ANA",0.44,0.44,3.4,3.26,3.4,3.26,0.13,0.56,2.7,0.21,0.68,0.64,2.97,2.97,2.91,12.61,11.61,12.61,11.61,1.22,2.53,8.86,1.18,3.01,3.01,10.77,10.77,10.53,16.1,14.38,16.1,14.38,0.89,0.85,14.35,0.9,2.46,2.46,14.54,14.54,13.49,20.08,25.35,0,0,0.39,0.4,0,0,1,151,234
8473986,"Alex Killorn","ANA","L","L",82,19,18,37,12,134,0.14179,0.38095,1036.5609,758.76,1028,-21,39,4,1063,0.06,17,35,0.508,730,1,21,-1,759,0.067,7,29,0.509,0.535,0.088,0.919,18,32,5,"Killorn",1,30,0.45121,0,3,20242025,1,2,"ANA",0.231707317073171,0.219512195121951,0.451219512195122,1.63414634146341,35,29,"ANA",0.45,0.45,15.81,15.13,15.79,15.13,4.21,5.91,5.68,2.16,2.91,3.08,14.89,14.92,14.64,69.25,65.83,68.97,65.56,23.03,21.9,24.32,10.8,14.48,14.86,65.19,65.03,63.52,85.34,80.59,85.63,80.88,22.12,22.02,41.21,11.44,15.04,15.04,81.73,81.98,78.57,172.09,211.37,0,0,0.45,0.45,8,8,13,3325,4146
8473986,"Alex Killorn","ANA","L","L",82,19,18,37,12,134,0.14179,0.38095,1036.5609,758.76,1028,-21,39,4,1063,0.06,17,35,0.508,730,1,21,-1,759,0.067,7,29,0.509,0.535,0.088,0.919,18,32,5,"Killorn",1,30,0.45121,0,3,20242025,1,2,"ANA",0.231707317073171,0.219512195121951,0.451219512195122,1.63414634146341,35,29,"ANA",0.48,0.44,9.68,9.35,9.67,9.35,3.72,3.59,2.37,1.51,1.11,1.58,9.62,9.64,9.54,41.17,39.68,40.89,39.42,18.38,13.33,9.46,6.83,8.54,9.1,38.9,38.74,38.16,43.79,42.63,44.09,42.92,16.63,15.78,11.38,6.96,7.88,7.88,42.88,43.11,42.41,119.21,151.64,1.33,2.04,0.44,0.44,6,6,4,2719,3411
8473986,"Alex Killorn","ANA","L","L",82,19,18,37,12,134,0.14179,0.38095,1036.5609,758.76,1028,-21,39,4,1063,0.06,17,35,0.508,730,1,21,-1,759,0.067,7,29,0.509,0.535,0.088,0.919,18,32,5,"Killorn",1,30,0.45121,0,3,20242025,1,2,"ANA",0.231707317073171,0.219512195121951,0.451219512195122,1.63414634146341,35,29,"ANA",0.09,0.15,0.92,0.81,0.92,0.81,0.07,0.56,0.28,0.08,0.28,0.28,0.72,0.72,0.65,2.16,2.01,2.16,2.01,0.5,1.16,0.49,0.26,0.49,0.49,1.93,1.93,1.84,22.89,21.02,22.89,21.02,3.71,4.6,14.58,3.27,4.7,4.7,21.45,21.45,19.83,4.41,24.76,0.06,0.09,0.13,0.14,1,1,3,54,361
8473986,"Alex Killorn","ANA","L","L",82,19,18,37,12,134,0.14179,0.38095,1036.5609,758.76,1028,-21,39,4,1063,0.06,17,35,0.508,730,1,21,-1,759,0.067,7,29,0.509,0.535,0.088,0.919,18,32,5,"Killorn",1,30,0.45121,0,3,20242025,1,2,"ANA",0.231707317073171,0.219512195121951,0.451219512195122,1.63414634146341,35,29,"ANA",0.85,0.88,1.81,1.7,1.81,1.7,0.28,1.2,0.32,0.36,0.83,0.59,1.59,1.59,1.54,13.2,12.42,13.2,12.42,2.82,4.88,5.5,2.5,2.44,2.25,13.45,13.45,12.86,2.41,2.4,2.41,2.4,0.73,0.78,0.9,0.27,0,0,2.68,2.68,2.67,22.87,3.12,0,0,0.89,0.87,1,1,5,341,42
